map_file=random512-20-0.map
agents=500
seed=1
random_problem=0
max_timestep=1000
max_comp_time=5000
256,169,0,33,138,0
187,451,0,263,270,1
330,363,1,476,85,1
359,187,0,244,282,0
190,296,0,278,190,1
155,299,0,219,137,0
223,393,0,135,83,0
288,209,0,465,389,0
293,211,0,457,124,0
175,392,0,459,411,0
273,348,1,50,14,0
256,288,1,352,123,0
471,280,0,84,321,0
24,168,0,391,97,0
13,499,0,362,183,0
103,151,1,183,26,0
415,60,1,185,477,0
211,379,1,293,28,1
106,4,1,240,346,0
209,147,0,302,243,0
228,108,0,282,70,0
275,274,0,347,226,0
196,469,0,2,397,0
199,89,0,6,456,1
349,275,1,150,382,1
319,28,1,230,332,0
502,80,1,306,284,1
189,187,0,222,143,1
139,278,0,156,101,1
208,91,1,369,0,1
346,40,1,228,38,1
100,461,1,142,423,1
212,312,0,380,311,0
414,126,1,284,352,1
147,429,1,428,79,0
274,347,0,103,370,1
390,430,1,465,491,1
286,487,0,359,266,1
107,328,0,419,232,0
432,280,0,10,100,0
67,87,0,332,171,1
172,323,1,373,39,0
317,138,0,130,302,0
60,295,0,461,476,1
52,253,1,414,163,0
110,500,1,195,354,0
469,53,1,307,393,1
317,400,0,153,343,0
481,487,1,3,217,1
196,392,0,237,79,1
335,109,0,94,213,0
147,273,0,23,159,1
365,226,1,216,360,0
111,67,1,25,486,0
133,473,0,339,342,0
192,316,1,55,157,0
28,97,1,6,33,0
74,297,0,157,332,1
93,434,0,57,54,1
132,358,0,204,388,1
36,181,1,83,103,0
131,368,1,370,233,0
250,477,1,505,417,1
228,178,0,224,478,1
148,125,0,214,381,1
466,460,1,130,0,1
407,240,0,395,297,1
401,20,1,198,12,0
252,433,0,104,61,0
63,484,1,335,203,1
172,166,1,361,147,1
21,147,1,110,399,1
152,141,0,194,332,0
277,190,1,411,222,0
268,459,0,126,40,0
382,500,0,26,344,0
420,490,0,312,212,1
331,276,0,93,474,0
333,95,0,367,317,1
36,244,0,10,237,1
382,58,0,180,176,0
155,495,1,396,400,1
135,28,1,2,442,1
411,100,1,415,19,0
433,478,1,43,97,0
440,345,0,269,230,1
507,396,0,217,373,0
505,300,0,56,501,1
509,242,1,499,254,0
229,64,1,431,338,0
342,504,1,19,329,1
284,145,1,389,65,0
331,426,1,74,224,0
504,506,1,507,375,1
315,393,1,269,458,1
290,324,1,230,252,0
500,219,0,308,167,0
23,511,1,224,197,1
190,131,0,185,339,0
144,121,1,489,255,0
403,361,0,181,121,1
361,93,1,113,475,1
121,440,1,327,274,1
121,465,0,265,287,1
376,343,0,51,365,1
47,486,1,45,302,1
224,244,0,191,203,1
428,208,1,259,511,1
341,131,1,1,336,0
424,31,0,152,356,1
169,383,1,97,214,0
364,425,0,95,36,0
476,425,1,355,155,0
9,171,0,66,13,0
204,268,0,504,171,0
235,472,1,303,340,0
399,197,0,220,476,1
346,456,1,118,30,1
140,390,1,195,68,1
